id,Country,Cases,Deaths,Update_Time
1,Argentina,1,0,2009-05-23 08:00:00
2,Australia,12,0,2009-05-23 08:00:00
3,Austria,1,0,2009-05-23 08:00:00
4,Belgium,7,0,2009-05-23 08:00:00
5,Brazil,8,0,2009-05-23 08:00:00
6,Canada,719,1,2009-05-23 08:00:00
7,Chile,24,0,2009-05-23 08:00:00
8,China,11,0,2009-05-23 08:00:00
9,Colombia,12,0,2009-05-23 08:00:00
10,Costa Rica,20,1,2009-05-23 08:00:00
11,Cuba,4,0,2009-05-23 08:00:00
12,Denmark,1,0,2009-05-23 08:00:00
13,Ecuador,8,0,2009-05-23 08:00:00
14,El Salvador,6,0,2009-05-23 08:00:00
15,Finland,2,0,2009-05-23 08:00:00
16,France,16,0,2009-05-23 08:00:00
17,Germany,17,0,2009-05-23 08:00:00
18,Greece,1,0,2009-05-23 08:00:00
19,Guatemala,4,0,2009-05-23 08:00:00
20,India,1,0,2009-05-23 08:00:00
21,Ireland,1,0,2009-05-23 08:00:00
22,Israel,7,0,2009-05-23 08:00:00
23,Italy,14,0,2009-05-23 08:00:00
24,Japan,321,0,2009-05-23 08:00:00
25,Korea,3,0,2009-05-23 08:00:00
26,Malaysia,2,0,2009-05-23 08:00:00
27,Mexico,3892,75,2009-05-23 08:00:00
28,Netherlands,3,0,2009-05-23 08:00:00
29,New Zealand,9,0,2009-05-23 08:00:00
30,Norway,4,0,2009-05-23 08:00:00
31,Panama,76,0,2009-05-23 08:00:00
32,Peru,5,0,2009-05-23 08:00:00
33,Philippines,1,0,2009-05-23 08:00:00
34,Poland,2,0,2009-05-23 08:00:00
35,Portugal,1,0,2009-05-23 08:00:00
36,Russia,1,0,2009-05-23 08:00:00
37,Spain,126,0,2009-05-23 08:00:00
38,Sweden,3,0,2009-05-23 08:00:00
39,Switzerland,2,0,2009-05-23 08:00:00
40,Thailand,2,0,2009-05-23 08:00:00
41,Turkey,2,0,2009-05-23 08:00:00
42,United Kingdom,117,0,2009-05-23 08:00:00
43,United States of America,6552,9,2009-05-23 08:00:00
44,Argentina,2,0,2009-05-25 08:00:00
45,Australia,16,0,2009-05-25 08:00:00
46,Austria,1,0,2009-05-25 08:00:00
47,Belgium,7,0,2009-05-25 08:00:00
48,Brazil,9,0,2009-05-25 08:00:00
